meeting_hours,focus_blocks,tasks_completed,overdue_tasks,after_hours_activity,response_time_avg,calendar_fragmentation,consecutive_meeting_ratio,employee_id,week,archetype,productivity_score
4.98,9,17,0.027,0,3.14,0.126,0.0,0,0,deep_focus,100.0
11.67,5,12,0.02,0,0.79,0.15,0.13,0,1,deep_focus,100.0
16.07,9,12,0.026,1,4.44,0.149,0.049,0,2,deep_focus,100.0
6.98,8,13,0.066,0,5.64,0.422,0.16,0,3,deep_focus,100.0
9.54,6,9,0.081,0,1.98,0.13,0.043,0,4,deep_focus,100.0
8.99,10,16,0.08,0,3.06,0.079,0.155,0,5,deep_focus,100.0
7.06,11,11,0.083,1,2.44,0.194,0.149,0,6,deep_focus,100.0
11.88,9,24,0.013,0,3.91,0.086,0.152,0,7,deep_focus,100.0
10.73,7,9,0.018,1,3.68,0.166,0.125,0,8,deep_focus,100.0
11.73,9,18,0.057,0,5.01,0.179,0.082,0,9,deep_focus,100.0
11.53,3,15,0.034,0,4.68,0.187,0.111,0,10,deep_focus,99.67
1.0,11,13,0.0,0,2.51,0.208,0.078,0,11,deep_focus,100.0
7.72,8,10,0.096,1,5.19,0.127,0.17,1,0,deep_focus,100.0
4.38,13,11,0.027,1,3.24,0.076,0.103,1,1,deep_focus,100.0
5.29,7,18,0.019,0,5.22,0.102,0.111,1,2,deep_focus,100.0
10.31,9,14,0.081,0,2.02,0.242,0.115,1,3,deep_focus,100.0
9.1,7,14,0.062,0,6.8,0.238,0.04,1,4,deep_focus,100.0
8.99,10,17,0.017,1,4.62,0.266,0.195,1,5,deep_focus,100.0
6.51,7,11,0.047,1,4.42,0.266,0.101,1,6,deep_focus,100.0
12.1,14,15,0.016,0,4.72,0.182,0.136,1,7,deep_focus,100.0
9.35,7,9,0.032,1,4.32,0.1,0.109,1,8,deep_focus,100.0
8.27,9,14,0.004,1,4.84,0.287,0.153,1,9,deep_focus,100.0
2.93,10,15,0.071,4,4.86,0.291,0.148,1,10,deep_focus,100.0
9.64,10,11,0.041,0,4.12,0.385,0.007,1,11,deep_focus,100.0
6.84,7,12,0.112,1,4.82,0.098,0.219,2,0,deep_focus,100.0
14.89,10,14,0.068,2,3.06,0.164,0.017,2,1,deep_focus,100.0
7.35,8,13,0.063,0,5.42,0.301,0.119,2,2,deep_focus,100.0
11.63,12,11,0.0,0,6.81,0.198,0.053,2,3,deep_focus,100.0
4.01,5,10,0.112,2,3.81,0.163,0.103,2,4,deep_focus,100.0
15.45,10,13,0.052,1,4.19,0.048,0.164,2,5,deep_focus,100.0
8.27,10,14,0.068,0,3.27,0.217,0.144,2,6,deep_focus,100.0
5.98,8,16,0.108,1,4.87,0.15,0.144,2,7,deep_focus,100.0
8.95,5,10,0.023,2,6.33,0.165,0.08,2,8,deep_focus,100.0
8.8,10,12,0.088,0,5.28,0.178,0.069,2,9,deep_focus,100.0
14.8,5,12,0.098,0,5.16,0.253,0.065,2,10,deep_focus,94.17
5.88,12,13,0.082,1,6.04,0.165,0.11,2,11,deep_focus,100.0
14.05,3,7,0.077,1,3.31,0.548,0.319,3,0,balanced,87.03
14.48,3,9,0.103,1,2.17,0.452,0.373,3,1,balanced,87.56
15.48,7,9,0.133,1,3.1,0.323,0.252,3,2,balanced,94.29
19.4,7,14,0.074,2,3.18,0.619,0.185,3,3,balanced,94.99
11.28,1,8,0.074,1,3.34,0.588,0.326,3,4,balanced,85.7
11.47,6,7,0.23,2,2.53,0.229,0.358,3,5,balanced,91.56
17.13,2,8,0.12,1,2.55,0.462,0.165,3,6,balanced,89.88
14.81,7,11,0.053,0,4.28,0.433,0.19,3,7,balanced,96.81
19.88,8,10,0.244,3,2.75,0.497,0.302,3,8,balanced,90.58
17.18,7,12,0.014,0,0.96,0.373,0.307,3,9,balanced,97.43
19.66,9,7,0.018,1,3.38,0.397,0.085,3,10,balanced,100.0
12.12,7,10,0.064,0,1.94,0.394,0.326,3,11,balanced,94.81
12.71,4,8,0.034,1,3.06,0.172,0.242,4,0,balanced,95.11
16.16,8,11,0.083,0,3.58,0.345,0.152,4,1,balanced,100.0
21.5,4,5,0.171,0,3.03,0.497,0.172,4,2,balanced,79.92
18.29,1,8,0.066,1,2.95,0.294,0.198,4,3,balanced,85.59
11.98,6,11,0.183,2,2.13,0.4,0.44,4,4,balanced,86.46
17.16,9,9,0.08,2,1.69,0.209,0.325,4,5,balanced,100.0
15.34,5,9,0.093,0,2.62,0.359,0.184,4,6,balanced,92.95
8.36,7,10,0.115,1,3.27,0.328,0.207,4,7,balanced,98.92
17.0,10,13,0.176,0,2.44,0.3,0.272,4,8,balanced,100.0
5.86,5,6,0.168,0,3.27,0.678,0.121,4,9,balanced,93.86
13.74,4,11,0.186,2,2.28,0.643,0.108,4,10,balanced,96.2
12.24,6,10,0.215,1,3.11,0.341,0.297,4,11,balanced,91.22
25.74,2,8,0.437,2,8.4,0.709,0.396,5,0,meeting_heavy,70.38
17.23,1,4,0.518,3,5.56,0.833,0.379,5,1,meeting_heavy,67.22
27.48,0,6,0.384,2,7.27,0.977,0.618,5,2,meeting_heavy,53.44
25.07,1,5,0.264,3,5.04,0.798,0.633,5,3,meeting_heavy,59.25
28.13,1,2,0.306,3,7.51,0.658,0.687,5,4,meeting_heavy,54.53
31.25,3,2,0.226,0,8.99,0.815,0.594,5,5,meeting_heavy,62.32
23.87,4,4,0.361,4,6.96,0.772,0.521,5,6,meeting_heavy,62.48
30.65,3,7,0.299,1,5.75,0.756,0.709,5,7,meeting_heavy,62.4
21.29,1,3,0.249,0,7.65,0.757,0.471,5,8,meeting_heavy,66.86
19.15,3,3,0.2,2,5.45,0.48,0.595,5,9,meeting_heavy,72.64
25.47,3,6,0.323,0,11.15,0.756,0.601,5,10,meeting_heavy,57.67
25.3,1,2,0.295,2,4.91,0.679,0.611,5,11,meeting_heavy,58.47
13.85,1,7,0.049,1,3.29,0.375,0.238,6,0,balanced,90.14
18.25,3,9,0.116,1,2.23,0.391,0.252,6,1,balanced,84.41
11.43,6,9,0.15,0,2.65,0.377,0.315,6,2,balanced,94.26
12.65,6,13,0.06,0,2.06,0.233,0.391,6,3,balanced,98.59
9.64,8,6,0.165,0,4.25,0.183,0.11,6,4,balanced,100.0
15.31,5,9,0.201,3,3.67,0.338,0.217,6,5,balanced,88.35
11.34,2,11,0.24,2,2.53,0.453,0.38,6,6,balanced,82.45
17.7,7,9,0.168,1,0.63,0.365,0.266,6,7,balanced,91.38
11.86,2,8,0.2,0,3.57,0.225,0.417,6,8,balanced,82.66
14.28,6,11,0.029,1,2.34,0.231,0.329,6,9,balanced,100.0
14.43,6,9,0.239,1,1.44,0.36,0.29,6,10,balanced,90.01
14.42,7,6,0.189,0,2.77,0.506,0.26,6,11,balanced,88.57
18.84,7,10,0.116,0,3.43,0.421,0.272,7,0,balanced,93.28
9.01,8,9,0.161,1,3.03,0.494,0.209,7,1,balanced,96.15
14.36,5,9,0.133,1,4.26,0.311,0.235,7,2,balanced,91.26
16.57,6,12,0.031,1,3.89,0.408,0.335,7,3,balanced,92.33
16.27,10,9,0.093,2,4.58,0.348,0.216,7,4,balanced,98.18
11.47,4,7,0.074,1,3.23,0.555,0.17,7,5,balanced,88.56
